Ticker,Rule,Trades,Win Rate %,Avg Net %,Total Return %,Profit Factor,Max Drawdown %
NESTLEIND.NS,Rule3_EarlyWeek,762,53.3,0.0736,71.79,1.4,-10.29
NESTLEIND.NS,Rule4_Combined,414,54.1,0.1204,63.24,1.9,-5.36
ONGC.NS,Rule1_ReliableBull,705,60.9,0.1794,245.41,1.91,-7.57
ONGC.NS,Rule3_EarlyWeek,729,60.4,0.1514,192.56,1.69,-9.08
ONGC.NS,Rule4_Combined,431,60.8,0.1693,104.12,1.86,-7.71
POWERGRID.NS,Rule1_ReliableBull,680,53.8,0.0877,78.32,1.47,-10.95
POWERGRID.NS,Rule3_EarlyWeek,733,50.5,0.0387,30.81,1.21,-21.45
POWERGRID.NS,Rule4_Combined,406,52.7,0.0876,41.7,1.55,-6.25
RELIANCE.NS,Rule1_ReliableBull,726,57.9,0.1203,135.33,1.73,-8.62
RELIANCE.NS,Rule3_EarlyWeek,727,58.2,0.0853,82.83,1.47,-10.14
RELIANCE.NS,Rule4_Combined,434,59.0,0.1191,66.33,1.8,-3.96
SBILIFE.NS,Rule1_ReliableBull,407,56.0,0.0684,29.8,1.36,-10.02
SBILIFE.NS,Rule3_EarlyWeek,355,52.1,0.0737,28.88,1.41,-15.02
SBILIFE.NS,Rule4_Combined,228,51.8,0.0319,7.09,1.21,-5.51
SHRIRAMFIN.NS,Rule1_ReliableBull,783,60.4,0.1456,202.47,1.7,-11.77
SHRIRAMFIN.NS,Rule3_EarlyWeek,752,61.6,0.1602,219.59,1.6,-13.86
SHRIRAMFIN.NS,Rule4_Combined,479,57.6,0.1154,71.78,1.62,-8.05
SBIN.NS,Rule1_ReliableBull,787,62.6,0.1505,221.13,1.95,-6.46
SBIN.NS,Rule3_EarlyWeek,736,63.9,0.1746,252.8,1.94,-7.81
SBIN.NS,Rule4_Combined,488,62.9,0.1516,107.93,2.16,-3.96
SUNPHARMA.NS,Rule1_ReliableBull,828,60.6,0.0987,119.06,1.46,-16.47
SUNPHARMA.NS,Rule3_EarlyWeek,735,62.2,0.1434,180.85,1.84,-8.99
SUNPHARMA.NS,Rule4_Combined,507,61.9,0.1189,78.59,1.57,-18.14
TCS.NS,Rule1_ReliableBull,688,56.7,0.1085,107.38,1.68,-9.09
TCS.NS,Rule3_EarlyWeek,728,56.6,0.0877,86.26,1.53,-9.43
TCS.NS,Rule4_Combined,429,54.8,0.0773,38.05,1.48,-8.9
TATACONSUM.NS,Rule1_ReliableBull,869,64.9,0.1939,426.55,2.41,-5.91
TATACONSUM.NS,Rule3_EarlyWeek,715,59.2,0.1096,114.81,1.62,-10.47
TATACONSUM.NS,Rule4_Combined,524,63.7,0.2049,187.98,2.56,-5.13
TATASTEEL.NS,Rule1_ReliableBull,721,63.1,0.1799,257.57,1.98,-10.19
TATASTEEL.NS,Rule3_EarlyWeek,753,62.2,0.1661,239.72,1.76,-7.89
TATASTEEL.NS,Rule4_Combined,442,67.4,0.2298,172.21,2.53,-7.64
TECHM.NS,Rule1_ReliableBull,802,56.9,0.0995,116.27,1.48,-17.51
TECHM.NS,Rule3_EarlyWeek,707,59.5,0.0793,70.53,1.38,-14.24
TECHM.NS,Rule4_Combined,485,55.7,0.0717,39.37,1.34,-13.42
TITAN.NS,Rule1_ReliableBull,824,60.9,0.1511,237.57,1.84,-13.67
TITAN.NS,Rule3_EarlyWeek,728,56.6,0.0454,35.06,1.19,-20.32
TITAN.NS,Rule4_Combined,510,62.4,0.1277,89.45,1.73,-11.62
ULTRACEMCO.NS,Rule1_ReliableBull,748,57.6,0.1145,132.0,1.8,-13.84
ULTRACEMCO.NS,Rule3_EarlyWeek,720,56.9,0.0554,45.37,1.28,-24.0
ULTRACEMCO.NS,Rule4_Combined,449,60.4,0.1288,77.22,2.1,-5.77
WIPRO.NS,Rule1_ReliableBull,725,58.8,0.0882,84.68,1.44,-9.15
WIPRO.NS,Rule3_EarlyWeek,739,58.9,0.0918,92.54,1.47,-13.29
WIPRO.NS,Rule4_Combined,439,58.1,0.0931,48.89,1.54,-7.68
